rec,presence,site,year,month,day,hour,minute,species,songtype
20200325_200000.flac,0,Yat1,2020,3,25,20,0,sp44,Nocturnal Song
20200325_203000.flac,1,Yat1,2020,3,25,20,30,sp44,Nocturnal Song
20200325_210000.flac,0,Yat1,2020,3,25,21,0,sp44,Nocturnal Song
20200325_213000.flac,0,Yat1,2020,3,25,21,30,sp44,Nocturnal Song
20200325_220000.flac,0,Yat1,2020,3,25,22,0,sp44,Nocturnal Song
20200325_223000.flac,0,Yat1,2020,3,25,22,30,sp44,Nocturnal Song
20200325_230000.flac,0,Yat1,2020,3,25,23,0,sp44,Nocturnal Song
20200325_233000.flac,0,Yat1,2020,3,25,23,30,sp44,Nocturnal Song
20200326_180000.flac,0,Yat1,2020,3,26,18,0,sp44,Nocturnal Song
20200326_183000.flac,0,Yat1,2020,3,26,18,30,sp44,Nocturnal Song
20200326_190000.flac,1,Yat1,2020,3,26,19,0,sp44,Nocturnal Song
20200326_193000.flac,0,Yat1,2020,3,26,19,30,sp44,Nocturnal Song
20200326_200000.flac,0,Yat1,2020,3,26,20,0,sp44,Nocturnal Song
20200326_203000.flac,0,Yat1,2020,3,26,20,30,sp44,Nocturnal Song
20200326_210000.flac,0,Yat1,2020,3,26,21,0,sp44,Nocturnal Song
20200326_213000.flac,0,Yat1,2020,3,26,21,30,sp44,Nocturnal Song
20200326_220000.flac,0,Yat1,2020,3,26,22,0,sp44,Nocturnal Song
20200326_223000.flac,0,Yat1,2020,3,26,22,30,sp44,Nocturnal Song
20200326_230000.flac,0,Yat1,2020,3,26,23,0,sp44,Nocturnal Song
20200326_233000.flac,0,Yat1,2020,3,26,23,30,sp44,Nocturnal Song
20200327_180000.flac,0,Yat1,2020,3,27,18,0,sp44,Nocturnal Song
20200327_183000.flac,1,Yat1,2020,3,27,18,30,sp44,Nocturnal Song
20200327_190000.flac,0,Yat1,2020,3,27,19,0,sp44,Nocturnal Song
20200327_193000.flac,1,Yat1,2020,3,27,19,30,sp44,Nocturnal Song
20200327_200000.flac,0,Yat1,2020,3,27,20,0,sp44,Nocturnal Song
20200327_203000.flac,1,Yat1,2020,3,27,20,30,sp44,Nocturnal Song
20200327_210000.flac,1,Yat1,2020,3,27,21,0,sp44,Nocturnal Song
20200327_220000.flac,0,Yat1,2020,3,27,22,0,sp44,Nocturnal Song
20200327_223000.flac,0,Yat1,2020,3,27,22,30,sp44,Nocturnal Song
20200327_230000.flac,0,Yat1,2020,3,27,23,0,sp44,Nocturnal Song
20200327_233000.flac,0,Yat1,2020,3,27,23,30,sp44,Nocturnal Song
20200328_180000.flac,0,Yat1,2020,3,28,18,0,sp44,Nocturnal Song
20200328_183000.flac,0,Yat1,2020,3,28,18,30,sp44,Nocturnal Song
20200328_190000.flac,0,Yat1,2020,3,28,19,0,sp44,Nocturnal Song
20200328_193000.flac,0,Yat1,2020,3,28,19,30,sp44,Nocturnal Song
20200328_200000.flac,1,Yat1,2020,3,28,20,0,sp44,Nocturnal Song
20200328_203000.flac,1,Yat1,2020,3,28,20,30,sp44,Nocturnal Song
20200328_210000.flac,1,Yat1,2020,3,28,21,0,sp44,Nocturnal Song
20200328_213000.flac,0,Yat1,2020,3,28,21,30,sp44,Nocturnal Song
20200328_220000.flac,0,Yat1,2020,3,28,22,0,sp44,Nocturnal Song
20200328_223000.flac,0,Yat1,2020,3,28,22,30,sp44,Nocturnal Song
20200328_230000.flac,0,Yat1,2020,3,28,23,0,sp44,Nocturnal Song
20200328_233000.flac,0,Yat1,2020,3,28,23,30,sp44,Nocturnal Song
20200329_180000.flac,0,Yat1,2020,3,29,18,0,sp44,Nocturnal Song
20200329_183000.flac,1,Yat1,2020,3,29,18,30,sp44,Nocturnal Song
20200329_190000.flac,1,Yat1,2020,3,29,19,0,sp44,Nocturnal Song
20200329_193000.flac,1,Yat1,2020,3,29,19,30,sp44,Nocturnal Song
20200329_200000.flac,1,Yat1,2020,3,29,20,0,sp44,Nocturnal Song
20200329_203000.flac,1,Yat1,2020,3,29,20,30,sp44,Nocturnal Song
20200329_210000.flac,0,Yat1,2020,3,29,21,0,sp44,Nocturnal Song
20200329_213000.flac,0,Yat1,2020,3,29,21,30,sp44,Nocturnal Song
20200329_220000.flac,0,Yat1,2020,3,29,22,0,sp44,Nocturnal Song
20200329_223000.flac,0,Yat1,2020,3,29,22,30,sp44,Nocturnal Song
20200329_230000.flac,0,Yat1,2020,3,29,23,0,sp44,Nocturnal Song
